model_name,auc,auprc,f1,precision,recall,loss
fp_chembert_lincs_vs_cnn,0.7634709648075935,0.7124722495806037,0.6828203449028596,0.6726881720430108,0.6932624113475178,0.6727730222046375
gcn_fp_chembert_lincs_graph_vs_cnn,0.7563679974357611,0.6995985613591083,0.6711998245229217,0.6643508467216674,0.6781914893617021,0.7306990429759026
fp_lincs_graph_vs_cnn,0.7536253607544741,0.7151739373975432,0.6431079894644425,0.6369565217391304,0.6493794326241135,0.7472207710146904
gcn_fp_chembert_lincs_vs_cnn,0.7515347109783383,0.6713713535858084,0.6599955525906159,0.6622043730477465,0.6578014184397163,0.6639403074979782
gcn_fp_lincs_vs_cnn,0.7514463435522818,0.6940267269274679,0.6717420510523959,0.6787330316742082,0.6648936170212766,0.7330927386879921
gcn_fp_chembert_vs_cnn,0.7493494383759144,0.6959810055915527,0.6503733876442634,0.6643550624133149,0.636968085106383,0.7154543682932853
fp_vs_cnn,0.7485688594457494,0.6938912341873005,0.6259157509157509,0.6472537878787878,0.6059397163120568,0.5996397092938424
gcn_fp_lincs_graph_vs_cnn,0.7455500349668955,0.7072732846342389,0.6599144722034661,0.6703246456332876,0.649822695035461,0.6994990423321724
fp_lincs_vs_cnn,0.7450470691153629,0.682940063677548,0.6669693530079455,0.683573755234993,0.6511524822695035,0.6856047168374062
chembert_lincs_vs_cnn,0.7365896888199688,0.6540069407173204,0.6573181419807187,0.6499133448873483,0.6648936170212766,0.7354475140571595
gcn_vs_cnn,0.7362420786045675,0.6525101672365388,0.6313917296576256,0.6333630686886709,0.6294326241134752,0.7241526454687118
gcn_fp_vs_cnn,0.731977875203657,0.6991947701987355,0.6375397667020148,0.6112240748271656,0.6662234042553191,0.7257490083575249
gcn_lincs_graph_vs_cnn,0.7302092597660259,0.658702230514866,0.5802411873840445,0.6084630350194552,0.5545212765957447,0.7580592930316925
chembert_lincs_graph_vs_cnn,0.7274354252658624,0.6388795920625161,0.6498806164532234,0.6367503190131859,0.663563829787234,0.6567855805158616
gcn_chembert_lincs_vs_cnn,0.7259273195340787,0.6351617111386435,0.6351232394366197,0.6306818181818182,0.6396276595744681,0.7012095183134079
chembert_vs_cnn,0.7245588913467069,0.6508067829725852,0.6467870642587148,0.6145251396648045,0.6826241134751773,0.6108538910746575
fp_chembert_lincs_graph_vs_cnn,0.7212797947088498,0.6492274127211342,0.649746192893401,0.6470329670329671,0.6524822695035462,0.7881581351161003
gcn_chembert_vs_cnn,0.7158995170514292,0.6357119425757181,0.6318978576065787,0.6173361522198731,0.6471631205673759,0.6776452228426934
fp_chembert_vs_cnn,0.7123565850519056,0.6338253798136652,0.6545146248410343,0.6271324126726239,0.6843971631205674,0.8031143829226494
gcn_chembert_lincs_graph_vs_cnn,0.7094984214220378,0.6692300360316905,0.6009204470742933,0.5942782834850455,0.6077127659574468,0.6933428198099136
gcn_lincs_vs_cnn,0.7023336918707036,0.6298620461208359,0.5808019441069259,0.6428187197417967,0.5296985815602837,0.8000699803233147
lincs_graph_vs_cnn,0.6984345187871048,0.6167419232798013,0.6009204470742933,0.5942782834850455,0.6077127659574468,0.7040571764111518
lincs_vs_cnn,0.6968766865825942,0.6161121734475995,0.5945241199478487,0.5831202046035806,0.6063829787234043,0.70711999386549
